No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2370,WPC,W. P. Carey Inc.,Financial,REIT - Diversified,USA,14.82B,34.15,85.83,0.54%,"292,772"
2368,GNW,"Genworth Financial, Inc.",Financial,Life Insurance,USA,2.18B,34.13,4.3,0.47%,"5,059,530"
2367,GOGL,Golden Ocean Group Limited,Services,Shipping,Bermuda,707.80M,34.07,4.6,1.32%,"234,191"
2366,BXMX,Nuveen S&P 500 Buy-Write Income Fund,Financial,Closed-End Fund - Equity,USA,1.42B,33.94,13.71,-0.44%,"159,636"
2365,TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,USA,11.60B,33.93,45.36,1.02%,"1,509,752"
2364,PNRG,PrimeEnergy Resources Corporation,Basic Materials,Independent Oil & Gas,USA,278.60M,33.87,140,-0.63%,246
2363,CWCO,Consolidated Water Co. Ltd.,Utilities,Water Utilities,Cayman Islands,271.16M,33.86,18.15,-2.63%,"57,200"
2362,HONE,"HarborOne Bancorp, Inc.",Financial,Savings & Loans,USA,648.99M,33.81,11.09,-0.09%,"158,829"
2360,CMP,"Compass Minerals International, Inc.",Basic Materials,Industrial Metals & Minerals,USA,2.16B,33.8,63.2,-0.28%,"247,424"
2361,TTEK,"Tetra Tech, Inc.",Services,Technical Services,USA,5.35B,33.8,98,-0.12%,"230,362"
2359,KN,Knowles Corporation,Technology,Communication Equipment,USA,1.63B,33.79,17.74,0.68%,"1,025,086"
2358,RDNT,"RadNet, Inc.",Healthcare,Medical Laboratories & Research,USA,1.17B,33.78,22.87,0.75%,"169,836"
2357,FRA,"BlackRock Floating Rate Income Strategies Fund, Inc.",Financial,Closed-End Fund - Debt,USA,492.93M,33.76,13.57,0.07%,"122,095"
2356,DNI,Dividend and Income Fund,Financial,Closed-End Fund - Equity,USA,165.62M,33.75,13.33,-0.30%,"90,497"
2355,BGCP,"BGC Partners, Inc.",Financial,Investment Brokerage - National,USA,2.83B,33.63,5.38,-0.92%,"1,431,191"
2354,BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,USA,314.06M,33.6,15.29,2.34%,"172,746"
2353,ES,Eversource Energy,Utilities,Diversified Utilities,USA,30.42B,33.58,93.66,1.28%,"1,155,290"
2352,ETR,Entergy Corporation,Utilities,Electric Utilities,USA,26.68B,33.56,134.13,0.67%,"1,639,020"
2351,BGT,BlackRock Floating Rate Income Trust,Financial,Closed-End Fund - Debt,USA,299.92M,33.5,13.03,0.08%,"45,263"
2350,CKH,Seacor Holdings Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,825.39M,33.49,40.72,-0.97%,"67,973"
2349,TRVG,trivago N.V.,Technology,Internet Information Providers,Germany,909.66M,33.46,2.61,3.57%,"289,805"
2348,MLNX,"Mellanox Technologies, Ltd.",Technology,Semiconductor - Broad Line,Israel,6.76B,33.44,121.17,0.32%,"373,441"
2347,ELMD,"Electromed, Inc.",Healthcare,Medical Appliances & Equipment,USA,93.71M,33.41,10.96,6.10%,"127,504"
2346,GRA,W. R. Grace & Co.,Basic Materials,Specialty Chemicals,USA,4.27B,33.39,62.98,-0.30%,"495,922"
2345,CIGI,Colliers International Group Inc.,Financial,Property Management,Canada,3.51B,33.37,90.06,2.88%,"133,910"
2344,WNS,WNS (Holdings) Limited,Services,Business Services,India,3.77B,33.32,75.16,2.78%,"241,794"
2341,ALSK,"Alaska Communications Systems Group, Inc.",Technology,Telecom Services - Domestic,USA,110.30M,33.2,2.03,-3.57%,"61,871"
2342,RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Other,India,7.57B,33.2,45.45,-0.87%,"277,541"
2343,AIZP,"Assurant, Inc.",Financial,Insurance Brokers,USA,8.59B,33.2,138.41,1.01%,"1,034"
2340,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrial Goods,Aerospace/Defense - Major Diversified,USA,4.39B,33.19,55.96,0.83%,"460,336"
2338,FRHC,Freedom Holding Corp.,Financial,Asset Management,Kazakhstan,935.63M,33.14,16.34,0.25%,"108,210"
2339,LOW,"Lowe's Companies, Inc.",Services,Home Improvement Stores,USA,96.15B,33.14,125.42,0.52%,"2,765,031"
2337,GLPI,"Gaming and Leisure Properties, Inc.",Financial,REIT - Diversified,USA,10.71B,33.13,49.56,1.25%,"654,985"
2336,STOR,STORE Capital Corporation,Financial,REIT - Diversified,USA,9.09B,33.08,38.8,-1.27%,"2,874,097"
2335,JCOM,"j2 Global, Inc.",Technology,Internet Software & Services,USA,4.76B,33.04,97.56,-0.13%,"661,844"
2333,LFUS,"Littelfuse, Inc.",Services,Electronics Wholesale,USA,4.59B,33.01,184.73,-0.57%,"67,658"
2334,PLAB,"Photronics, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.01B,33.01,14.82,-1.33%,"433,601"
2332,SUN,Sunoco LP,Basic Materials,Oil & Gas Refining & Marketing,USA,2.58B,32.99,30.94,0.06%,"273,663"
2331,ARMK,Aramark,Services,Specialty Eateries,USA,10.88B,32.98,42.48,1.94%,"2,441,979"
2329,OFS,OFS Capital Corporation,Financial,Asset Management,USA,156.85M,32.95,11.73,1.12%,"18,254"
2330,KRC,Kilroy Realty Corporation,Financial,REIT - Office,USA,9.29B,32.95,88.28,0.58%,"404,990"
2328,GCP,GCP Applied Technologies Inc.,Basic Materials,Specialty Chemicals,USA,1.73B,32.94,23.55,0.30%,"281,847"
2327,MGEE,"MGE Energy, Inc.",Utilities,Diversified Utilities,USA,2.85B,32.89,82.13,0.12%,"56,407"
2326,TTC,The Toro Company,Industrial Goods,Small Tools & Accessories,USA,8.97B,32.88,83.06,0.46%,"222,815"
2325,KW,"Kennedy-Wilson Holdings, Inc.",Financial,Property Management,USA,3.21B,32.85,22.37,-0.09%,"173,832"
2322,ATR,"AptarGroup, Inc.",Consumer Goods,Packaging & Containers,USA,7.51B,32.84,116.67,0.40%,"216,777"
2323,FCT,First Trust Senior Floating Rate Income Fund II,Financial,Closed-End Fund - Debt,USA,333.18M,32.84,12.48,-0.24%,"114,118"
2324,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,31.50B,32.84,184.41,0.16%,"881,671"
2320,DRE,Duke Realty Corporation,Financial,REIT - Industrial,USA,14.19B,32.75,38.48,1.42%,"1,532,339"
2321,LSXMK,The Liberty SiriusXM Group,Services,Broadcasting - Radio,USA,10.12B,32.75,49.72,-0.02%,"571,767"
2319,PFGC,Performance Food Group Company,Services,Restaurants,USA,6.17B,32.68,53.43,0.07%,"600,074"
2318,CDK,"CDK Global, Inc.",Technology,Application Software,USA,6.32B,32.66,52.1,-0.63%,"307,297"
2317,CRVL,CorVel Corporation,Financial,Insurance Brokers,USA,1.52B,32.65,81.7,0.32%,"64,703"
2316,PROV,"Provident Financial Holdings, Inc.",Financial,Savings & Loans,USA,165.68M,32.63,22.12,-0.58%,"7,364"
2315,UBP,Urstadt Biddle Properties Inc.,Financial,REIT - Retail,USA,184.01M,32.57,18.47,-2.07%,"2,405"
2313,GFY,Western Asset Variable Rate Strategic Fund Inc.,Financial,Closed-End Fund - Debt,USA,77.83M,32.5,16.67,0.01%,"9,138"
2314,FOXF,Fox Factory Holding Corp.,Consumer Goods,Recreational Vehicles,USA,2.90B,32.5,75.28,-1.18%,"195,660"
2312,ARNC,Arconic Inc.,Basic Materials,Aluminum,USA,14.49B,32.45,33.36,1.24%,"3,672,154"
2311,VMC,Vulcan Materials Company,Industrial Goods,General Building Materials,USA,19.36B,32.41,146.97,1.30%,"636,892"
2310,PCYO,Pure Cycle Corporation,Utilities,Water Utilities,USA,317.04M,32.37,13.4,-0.81%,"30,325"
2309,LSXMB,The Liberty SiriusXM Group,Services,Broadcasting - Radio,USA,481.91M,32.36,49.12,3.32%,999
2308,CAE,CAE Inc.,Industrial Goods,Aerospace/Defense Products & Services,Canada,8.12B,32.35,30.54,0.79%,"276,024"
2307,POL,PolyOne Corporation,Basic Materials,Specialty Chemicals,USA,2.89B,32.33,31.49,-1.04%,"810,179"
2305,PXD,Pioneer Natural Resources Company,Basic Materials,Independent Oil & Gas,USA,23.50B,32.32,139.23,-0.58%,"924,332"
2306,BIO-B,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Laboratories & Research,USA,2.06B,32.32,403.48,6.33%,384
2304,CECE,CECO Environmental Corp.,Industrial Goods,Pollution & Treatment Controls,USA,276.68M,32.3,7.72,0.00%,"57,794"
2303,ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,44.77B,32.27,117.65,-1.03%,"1,869,000"
2302,FDS,FactSet Research Systems Inc.,Technology,Information & Delivery Services,USA,11.49B,32.18,299.54,0.91%,"190,614"
2301,STKS,"The ONE Group Hospitality, Inc.",Services,Restaurants,USA,137.09M,32.16,4.47,-0.67%,"38,112"
2300,MCRI,"Monarch Casino & Resort, Inc.",Services,Resorts & Casinos,USA,1.01B,32.14,56.7,-0.32%,"85,933"
2298,DPZ,"Domino's Pizza, Inc.",Services,Restaurants,USA,12.10B,32.13,291.6,1.95%,"777,238"
2299,KSU,Kansas City Southern,Services,Railroads,USA,16.71B,32.13,173.64,0.10%,"917,183"
2297,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,78.76B,32.03,181.25,0.63%,"1,566,486"
2296,BRFS,BRF S.A.,Consumer Goods,Meat Products,Brazil,5.94B,32.01,7.17,-0.28%,"1,224,960"
2295,LSXMA,The Liberty SiriusXM Group,Services,Broadcasting - Radio,USA,28.30B,31.98,49.35,0.10%,"373,090"
2294,JOBS,"51job, Inc.",Services,Staffing & Outsourcing Services,China,5.52B,31.95,80,0.50%,"69,489"
2292,PRGO,Perrigo Company plc,Healthcare,Drug Related Products,Ireland,7.85B,31.94,57.71,-0.43%,"782,633"
2293,STRM,"Streamline Health Solutions, Inc.",Technology,Healthcare Information Services,USA,33.55M,31.94,1.15,0.00%,"240,562"
2291,MKC,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods,USA,22.04B,31.91,166.84,-0.14%,"459,104"
2290,INGN,"Inogen, Inc.",Healthcare,Medical Instruments & Supplies,USA,1.05B,31.88,46.22,0.13%,"202,293"
2289,MKC-V,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods,USA,1.56B,31.87,167,0.45%,"1,650"
2288,RAVN,"Raven Industries, Inc.",Industrial Goods,Diversified Machinery,USA,1.13B,31.86,30.65,-0.71%,"126,925"
2287,ENSG,"The Ensign Group, Inc.",Healthcare,Long-Term Care Facilities,USA,2.74B,31.83,52.1,-1.85%,"181,774"
2286,KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,USA,19.55B,31.75,98.16,1.60%,"1,456,184"
2285,NVS,Novartis AG,Healthcare,Drug Manufacturers - Major,Switzerland,248.89B,31.72,97.63,-0.14%,"1,052,740"
2284,ETV,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,Financial,Closed-End Fund - Equity,USA,1.28B,31.7,15.25,-0.13%,"369,437"
2283,MOD,Modine Manufacturing Company,Consumer Goods,Auto Parts,USA,452.03M,31.69,8.62,-0.92%,"252,725"
2282,CRUS,"Cirrus Logic, Inc.",Technology,Semiconductor - Specialized,USA,4.80B,31.66,81.59,1.10%,"777,203"
2279,CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,USA,14.46B,31.65,48.64,0.58%,"1,329,169"
2280,STAY,"Extended Stay America, Inc.",Services,Lodging,USA,2.42B,31.65,13.07,0.54%,"690,023"
2281,CNNE,"Cannae Holdings, Inc.",Financial,Asset Management,USA,3.37B,31.65,42.25,2.57%,"470,167"
2278,FMX,"Fomento Economico Mexicano, S.A.B. de C.V.",Consumer Goods,Beverages - Brewers,Mexico,32.55B,31.58,95.26,-0.05%,"162,997"
2277,EQNR,Equinor ASA,Basic Materials,Major Integrated Oil & Gas,Norway,60.93B,31.56,17.45,-0.17%,"2,151,068"
2276,LMAT,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,USA,747.93M,31.53,30.11,0.90%,"75,439"
2275,APEI,"American Public Education, Inc.",Services,Education & Training Services,USA,394.22M,31.49,25.19,0.80%,"37,383"
2274,NVMI,Nova Measuring Instruments Ltd.,Technology,Semiconductor Equipment & Materials,Israel,1.11B,31.42,39.96,-3.59%,"208,550"
2273,IEX,IDEX Corporation,Industrial Goods,Diversified Machinery,USA,13.28B,31.4,174.79,0.06%,"426,471"
