No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;Price;Change;Volume
381;FSBW;FS Bancorp, Inc.;Financial;Regional - Pacific Banks;USA;217500000;8.2;50.0;1.03%;15723
382;WSTG;Wayside Technology Group, Inc.;Services;Computers Wholesale;USA;78200000;8.2;16.89;0.12%;5108
388;NUO;Nuveen Ohio Quality Municipal Income Fund;Financial;Asset Management;USA;288490000;8.29;15.75;-0.32%;19700
392;VBF;Invesco Bond Fund;Financial;Closed-End Fund - Debt;USA;229930000;8.37;20.21;-1.41%;33602
395;ANAT;American National Insurance Company;Financial;Property & Casualty Insurance;USA;2810000000;8.41;103.76;-2.96%;47025
398;CFFI;C&F Financial Corporation;Financial;Regional - Mid-Atlantic Banks;USA;161100000;8.42;46.03;-4.30%;12342
400;NPV;Nuveen Virginia Quality Municipal Income Fund;Financial;Diversified Investments;USA;262269999;8.44;14.67;-0.07%;26388
403;CIF;MFS Intermediate High Income Fund;Financial;Closed-End Fund - Debt;USA;56860000;8.49;2.9;0.93%;70377
404;WTM;White Mountains Insurance Group, Ltd.;Financial;Property & Casualty Insurance;Bermuda;3530000000;8.5;1107.05;-0.16%;8467
405;NAZ;Nuveen Arizona Quality Municipal Income Fund;Financial;Asset Management;USA;161650000;8.5;13.97;0.02%;10726
406;PMO;Putnam Municipal Opportunities Trust;Financial;Closed-End Fund - Debt;USA;464690000;8.51;13.54;-0.51%;135761
412;MUI;BlackRock Muni Intermediate Duration Fund, Inc.;Financial;Closed-End Fund - Debt;USA;565640000;8.53;14.77;-0.07%;90300
415;BLX;Banco Latinoamericano de Comercio Exterior, S.A;Financial;Foreign Money Center Banks;Panama;580380000;8.56;18.32;-2.08%;104166
416;TSBK;Timberland Bancorp, Inc.;Financial;Savings & Loans;USA;215730000;8.57;25.35;-0.20%;8503
417;NKG;Nuveen Georgia Quality Municipal Income Fund;Financial;Asset Management;USA;135350000;8.59;13.02;-0.50%;18733
420;IMKTA;Ingles Markets, Incorporated;Services;Grocery Stores;USA;662480000;8.61;32.78;-1.53%;152310
421;RM;Regional Management Corp.;Financial;Credit Services;USA;320660000;8.62;28.81;4.80%;72505
424;FDUS;Fidus Investment Corporation;Financial;Asset Management;USA;349330000;8.63;14.28;0.35%;153947
425;IMOS;ChipMOS TECHNOLOGIES INC.;Technology;Semiconductor Equipment & Materials;Taiwan;741000000;8.64;20.0;1.27%;15851
426;CAI;CAI International, Inc.;Services;Rental & Leasing Services;USA;456470000;8.66;25.98;0.27%;88767
427;EIG;Employers Holdings, Inc.;Financial;Accident & Health Insurance;USA;1340000000;8.67;41.87;-0.71%;166338
429;AGM-A;Federal Agricultural Mortgage Corporation;Financial;Credit Services;USA;69830000;8.67;67.74;9.72%;306
431;EVN;Eaton Vance Municipal Income Trust;Financial;Closed-End Fund - Debt;USA;533919999;8.68;13.46;-1.17%;188878
435;UVE;Universal Insurance Holdings, Inc.;Financial;Property & Casualty Insurance;USA;766020000;8.71;22.88;0.44%;145488
438;INSI;Insight Select Income Fund;Financial;Asset Management;USA;219770000;8.73;20.52;-2.61%;19170
440;BBDO;Banco Bradesco S.A.;Financial;Foreign Regional Banks;Brazil;49160000000;8.74;6.12;-2.24%;12245
445;HSII;Heidrick & Struggles International, Inc.;Services;Staffing & Outsourcing Services;USA;418820000;8.8;21.39;-4.25%;108175
446;VSEC;VSE Corporation;Services;Technical Services;USA;313270000;8.82;28.35;0.89%;17743
447;KTF;DWS Municipal Income Trust;Financial;Closed-End Fund - Debt;USA;470850000;8.82;11.92;0.08%;91750
448;AGD;Aberdeen Global Dynamic Dividend Fund;Financial;Closed-End Fund - Foreign;USA;123360000;8.82;9.83;0.32%;74054
449;PTSI;P.A.M. Transportation Services, Inc.;Services;Trucking;USA;245120000;8.84;40.99;-1.47%;6159
454;TGH;Textainer Group Holdings Limited;Services;Rental & Leasing Services;Bermuda;502830000;8.87;8.78;-1.13%;184083
455;BYM;BlackRock Municipal Income Quality Trust;Financial;Closed-End Fund - Debt;USA;386590000;8.87;14.64;-0.07%;60328
459;UNTY;Unity Bancorp, Inc.;Financial;Money Center Banks;USA;205630000;8.9;18.9;3.00%;10925
460;RFI;Cohen & Steers Total Return Realty Fund, Inc.;Financial;Closed-End Fund - Equity;USA;378010000;8.9;14.46;-0.48%;109175
461;MHI;Pioneer Municipal High Income Trust;Financial;Closed-End Fund - Debt;USA;284870000;8.9;12.51;-0.16%;87054
462;LEN-B;Lennar Corporation;Industrial Goods;Residential Construction;USA;1930000000;8.91;51.18;-2.10%;72950
463;MUH;BlackRock MuniHoldings Fund II, Inc.;Financial;Closed-End Fund - Debt;USA;184440000;8.92;16.27;0.00%;9305
464;HWBK;Hawthorn Bancshares, Inc.;Financial;Regional - Northeast Banks;USA;144020000;8.94;22.97;2.68%;9835
465;NAN;Nuveen New York Quality Municipal Income Fund;Financial;Closed-End Fund - Debt;USA;447340000;8.95;14.5;-0.34%;90183
470;MUS;BlackRock MuniHoldings Quality Fund, Inc.;Financial;Closed-End Fund - Debt;USA;170280000;8.97;13.08;0.00%;80376
471;SCM;Stellus Capital Investment Corporation;Financial;Asset Management;USA;260899999;8.97;13.8;1.77%;176728
