No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
481,NCLH,Norwegian Cruise Line Holdings Ltd.,Services,Resorts & Casinos,USA,8.64B,9.14,39.31,-7.68%,"5,896,085"
482,BTA,BlackRock Long-Term Municipal Advantage Trust,Financial,Closed-End Fund - Debt,USA,181.92M,9.14,13.55,0.22%,"82,136"
483,DMLP,"Dorchester Minerals, L.P.",Financial,Diversified Investments,USA,521.13M,9.14,15.26,-1.61%,"125,791"
484,OSBC,"Old Second Bancorp, Inc.",Financial,Regional - Midwest Banks,USA,344.45M,9.14,11.59,-4.61%,"208,397"
485,RC,Ready Capital Corporation,Financial,Mortgage Investment,Mexico,825.75M,9.14,15.4,-4.11%,"632,445"
478,NGHCN,National General Holdings Corp.,Financial,Property & Casualty Insurance,USA,2.66B,9.1,24.82,-1.47%,"41,769"
479,LEN-B,Lennar Corporation,Industrial Goods,Residential Construction,USA,1.97B,9.1,52.28,-4.21%,"55,439"
480,AN,"AutoNation, Inc.",Services,Auto Dealerships,USA,4.05B,9.1,45.32,-4.47%,"734,927"
476,RBCAA,"Republic Bancorp, Inc.",Financial,Regional - Southeast Banks,USA,826.19M,9.08,39.38,-3.93%,"20,630"
477,PDCE,"PDC Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,2.01B,9.08,19.46,-8.34%,"1,729,594"
474,BPMP,BP Midstream Partners LP,Basic Materials,Independent Oil & Gas,USA,1.45B,9.07,13.6,-3.06%,"440,693"
475,NUM,Nuveen Michigan Quality Municipal Income Fund,Financial,Asset Management,USA,294.06M,9.07,14.54,-0.08%,"10,415"
472,SC,Santander Consumer USA Holdings Inc.,Financial,Mortgage Investment,USA,8.78B,9.06,25.83,-1.67%,"2,026,022"
473,NRK,Nuveen New York AMT-Free Quality Municipal Income Fund,Financial,Diversified Investments,USA,1.22B,9.06,13.99,-0.10%,"64,881"
471,DTF,DTF Tax-Free Income Inc.,Financial,Closed-End Fund - Debt,USA,129.77M,9.05,15.23,0.49%,"37,872"
467,GCO,Genesco Inc.,Services,Apparel Stores,USA,525.40M,9.04,34.34,-3.27%,"516,980"
468,AUG,Auryn Resources Inc.,Basic Materials,Industrial Metals & Minerals,Canada,134.04M,9.04,1.32,-2.22%,"149,881"
469,CFG,"Citizens Financial Group, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,15.44B,9.04,34.44,-4.49%,"6,086,058"
470,NMT,Nuveen Massachusetts Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,132.38M,9.04,14.2,0.21%,"8,172"
465,MHN,"BlackRock MuniHoldings New York Quality Fund, Inc.",Financial,Closed-End Fund - Debt,USA,440.83M,9.03,14.16,0.14%,"39,994"
466,FSFG,"First Savings Financial Group, Inc.",Financial,Regional - Midwest Banks,USA,149.79M,9.03,63.47,0.03%,"1,501"
462,DELL,Dell Technologies Inc.,Technology,Personal Computers,USA,34.53B,9.02,46.22,-4.33%,"3,430,772"
463,FMN,Federated Premier Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,169.69M,9.02,14.76,0.41%,"48,696"
464,PBF,PBF Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,USA,2.89B,9.02,23.53,-5.43%,"2,036,931"
460,BBK,BlackRock Municipal Bond Trust,Financial,Closed-End Fund - Debt,USA,170.15M,9,16.17,-0.80%,"23,825"
461,PLBC,Plumas Bancorp,Financial,Regional - Pacific Banks,USA,138.66M,9,26.72,-3.55%,"3,996"
459,NAN,Nuveen New York Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,448.89M,8.98,14.55,-0.34%,"53,840"
455,PTSI,"P.A.M. Transportation Services, Inc.",Services,Trucking,USA,248.77M,8.97,41.6,-13.87%,"6,555"
456,TGH,Textainer Group Holdings Limited,Services,Rental & Leasing Services,Bermuda,508.56M,8.97,8.88,-6.72%,"255,615"
457,MUS,"BlackRock MuniHoldings Quality Fund, Inc.",Financial,Closed-End Fund - Debt,USA,170.28M,8.97,13.08,-0.38%,"84,057"
458,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,21.29B,8.97,96.14,-2.91%,"3,900,983"
453,INSI,Insight Select Income Fund,Financial,Asset Management,USA,225.66M,8.96,21.07,0.43%,"21,755"
454,TPVG,TriplePoint Venture Growth BDC Corp.,Financial,Closed-End Fund - Equity,USA,382.65M,8.96,12.8,-7.31%,"855,394"
450,EIM,Eaton Vance Municipal Bond Fund,Financial,Asset Management,USA,1.02B,8.94,13.48,0.45%,"266,244"
451,RFI,"Cohen & Steers Total Return Realty Fund, Inc.",Financial,Closed-End Fund - Equity,USA,379.84M,8.94,14.53,-2.55%,"141,745"
452,BBDO,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,50.28B,8.94,6.26,-4.28%,"3,382"
449,FBC,"Flagstar Bancorp, Inc.",Financial,Savings & Loans,USA,1.93B,8.93,34.03,-1.33%,"292,335"
447,MHI,Pioneer Municipal High Income Trust,Financial,Closed-End Fund - Debt,USA,285.32M,8.92,12.53,0.56%,"44,359"
448,MUH,"BlackRock MuniHoldings Fund II, Inc.",Financial,Closed-End Fund - Debt,USA,184.44M,8.92,16.27,0.00%,"18,140"
446,STL,Sterling Bancorp,Financial,Money Center Banks,USA,3.64B,8.9,18.12,-4.13%,"1,410,736"
445,BYM,BlackRock Municipal Income Quality Trust,Financial,Closed-End Fund - Debt,USA,386.85M,8.88,14.65,0.14%,"53,728"
443,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,733.99M,8.87,69.31,-2.93%,"46,182"
444,MRLN,Marlin Business Services Corp.,Financial,Mortgage Investment,USA,239.53M,8.87,19.49,-4.65%,"26,660"
