No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
185,MGEN,"Miragen Therapeutics, Inc.",Healthcare,Biotechnology,USA,43.98M,-,0.83,2.27%,"2,775,476"
186,SLRX,"Salarius Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,8.11M,-,0.84,-2.80%,"536,158"
187,ELGX,"Endologix, Inc.",Healthcare,Medical Instruments & Supplies,USA,16.68M,-,0.84,0.38%,"580,774"
188,MHLD,"Maiden Holdings, Ltd.",Financial,Property & Casualty Insurance,Bermuda,69.59M,-,0.85,-3.14%,"53,043"
189,JMU,JMU Limited,Technology,Internet Information Providers,China,10.22M,-,0.85,0.00%,"15,694"
190,FTEK,"Fuel Tech, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,20.59M,-,0.86,0.61%,"24,019"
191,BKYI,"BIO-key International, Inc.",Technology,Security Software & Services,USA,12.04M,-,0.86,1.78%,"60,712"
192,MSN,Emerson Radio Corp.,Consumer Goods,Electronic Equipment,USA,17.86M,-,0.86,-0.28%,"14,706"
193,ITP,"IT Tech Packaging, Inc.",Consumer Goods,Paper & Paper Products,China,18.80M,-,0.86,-4.32%,"18,770"
194,LMFA,"LM Funding America, Inc.",Financial,Credit Services,USA,2.69M,-,0.86,-0.95%,"9,195"
195,UEC,Uranium Energy Corp.,Basic Materials,Industrial Metals & Minerals,USA,156.54M,-,0.87,2.36%,"608,802"
196,NGD,New Gold Inc.,Basic Materials,Gold,Canada,599.79M,-,0.88,1.35%,"1,265,262"
197,TRNX,"Taronis Technologies, Inc.",Basic Materials,Oil & Gas Equipment & Services,Netherlands,27.48M,-,0.88,0.60%,"501,375"
198,RWLK,ReWalk Robotics Ltd.,Healthcare,Medical Appliances & Equipment,Israel,6.42M,-,0.88,1.86%,"651,456"
199,SMRT,"Stein Mart, Inc.",Services,Apparel Stores,USA,42.85M,-,0.89,-0.05%,"267,733"
200,CTST,CannTrust Holdings Inc.,Healthcare,Drugs - Generic,Canada,125.79M,-,0.89,-1.24%,"1,135,799"
201,FTFT,Future FinTech Group Inc.,Consumer Goods,Beverages - Soft Drinks,China,29.70M,-,0.89,-3.96%,"38,422"
202,PHUN,"Phunware, Inc.",Technology,Application Software,USA,34.48M,-,0.89,-3.73%,"288,309"
203,BGI,Birks Group Inc.,Services,Jewelry Stores,Canada,18.95M,-,0.89,6.49%,"4,897"
204,DYNT,Dynatronics Corporation,Healthcare,Medical Appliances & Equipment,USA,8.34M,-,0.90,-1.86%,"111,958"
205,SUNW,"Sunworks, Inc.",Technology,Semiconductor - Specialized,USA,4.70M,-,0.90,0.44%,"344,408"
206,AKG,Asanko Gold Inc.,Basic Materials,Gold,Canada,207.13M,-,0.91,-0.73%,"173,277"
207,CHAP,"Chaparral Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,43.51M,-,0.91,0.52%,"115,462"
208,SCYX,"SCYNEXIS, Inc.",Healthcare,Drugs - Generic,USA,91.56M,-,0.92,4.17%,"577,324"
209,RETO,"ReTo Eco-Solutions, Inc.",Industrial Goods,General Building Materials,China,20.03M,-,0.92,-0.05%,"7,189"
210,SESN,"Sesen Bio, Inc.",Healthcare,Biotechnology,USA,99.38M,-,0.92,-1.68%,"747,392"
211,DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,USA,499.33M,1.19,0.93,-0.67%,"9,503,669"
212,EVOL,"Evolving Systems, Inc.",Technology,Technical & System Software,USA,10.95M,-,0.93,-0.57%,"49,642"
213,AZRX,"AzurRx BioPharma, Inc.",Healthcare,Biotechnology,USA,25.49M,-,0.94,-0.32%,"164,716"
214,CLIR,ClearSign Technologies Corporation,Industrial Goods,Pollution & Treatment Controls,USA,24.08M,-,0.96,-1.29%,"12,227"
215,SXTC,"China SXT Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,China,24.18M,12.77,0.96,-6.53%,"981,980"
216,PZG,Paramount Gold Nevada Corp.,Basic Materials,Gold,USA,26.19M,-,0.96,-2.47%,"11,286"
217,ENG,ENGlobal Corporation,Services,Technical Services,USA,26.47M,-,0.96,-1.03%,"21,707"
218,JAKK,"JAKKS Pacific, Inc.",Consumer Goods,Toys & Games,USA,36.53M,-,0.96,6.19%,"81,663"
219,SENS,"Senseonics Holdings, Inc.",Healthcare,Medical Appliances & Equipment,USA,189.72M,-,0.96,-3.26%,"1,446,480"
220,RGLS,Regulus Therapeutics Inc.,Healthcare,Biotechnology,USA,20.11M,-,0.96,-0.66%,"33,628"
221,SGOC,"SGOCO Group, Ltd.",Consumer Goods,Electronic Equipment,Hong Kong,77.60M,-,0.97,-2.02%,"89,943"
222,SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,20.86M,-,0.97,2.11%,"5,455"
223,NCTY,The9 Limited,Technology,Multimedia & Graphics Software,China,42.80M,-,0.97,1.04%,"114,583"
